gaijin_id,name,state,join_date,landforce,airforce,navy
27111098,琉璃酥,N,2026-09-26,Uncertified,Uncertified,Uncertified
44925104,大钢针别戳那会坏掉的,N,2026-06-05,Uncertified,Uncertified,Uncertified
73467279,分不清生与死,C,2026-06-05,Certified,Certified,Uncertified
76604953,霹雳闪电小猫咪,C,2026-06-05,Certified,Certified,Uncertified
94432009,星_岚,C,2026-06-05,Certified,Certified,Uncertified
94548817,天上坠下来一个林妹妹,N,2026-09-26,Uncertified,Uncertified,Uncertified
99943657,leesize,F,2026-06-05,Certified,Uncertified,Uncertified
103494770,飞鹰大小姐想向我表白,C,2025-07-08,Certified,Certified,Uncertified
108355524,griffin_mx,N,2026-06-05,Uncertified,Uncertified,Uncertified
115763866,piw应该丢进垃圾箱里,C,2026-06-05,Certified,Certified,Uncertified
117470434,代迷,C,2026-06-05,Certified,Certified,Uncertified
119770540,Gipsy42954,N,2026-06-05,Uncertified,Uncertified,Uncertified
120856855,便乘,C,2026-06-05,Certified,Certified,Uncertified
124118131,Shadow_uwu,C,2026-06-05,Uncertified,Certified,Uncertified
124346431,foqq3w4ndy,N,2026-09-26,Uncertified,Uncertified,Uncertified
131304308,CT瑞瑞,C,2026-06-05,Certified,Uncertified,Uncertified
133682573,最优质的战士灬八云墨,C,2026-06-05,Certified,Certified,Uncertified
134291449,Genhao50809,N,2026-09-26,Uncertified,Uncertified,Uncertified
135905478,fd0vjpp,C,2026-06-05,Certified,Uncertified,Uncertified
140752421,松坂砂糖Sato,N,2026-06-05,Uncertified,Uncertified,Uncertified
144178052,Esenzy,N,2026-06-05,Uncertified,Uncertified,Uncertified
144818385,misaka2003,N,2026-09-26,Uncertified,Uncertified,Uncertified
152959784,装步协同啊喂,N,2026-06-05,Uncertified,Uncertified,Uncertified
154006047,SIX_GUNS,C,2026-06-05,Certified,Certified,Uncertified
155534136,NeDisK,F,2026-06-05,Certified,Uncertified,Uncertified
157284954,快马加鞭地使用尼格全自动装弹机吧,C,2026-06-05,Certified,Certified,Certified
175766634,RIN_KIYONO,C,2026-06-05,Certified,Certified,Uncertified
177169194,周六的的酸奶,N,2026-09-26,Uncertified,Uncertified,Uncertified
179469475,The_Forest#2,N,2026-09-26,Uncertified,Uncertified,Uncertified
180087521,_P_L_向淅,C,2026-06-05,Certified,Certified,Uncertified
182597390,双狼之葬,F,2026-06-05,Certified,Uncertified,Uncertified
186714697,MirageStar,F,2026-05-23,Certified,Uncertified,Uncertified
187564452,尽飞尘,C,2026-06-05,Certified,Uncertified,Uncertified
189156396,想当兵的猫,F,2026-09-26,Certified,Uncertified,Uncertified
192084554,未名#2,N,2026-06-05,Uncertified,Uncertified,Uncertified
194758725,遇见也挺好,N,2026-09-26,Uncertified,Uncertified,Uncertified
199480296,中国国民革命军第9兵团司令廖耀湘,F,2026-09-26,Uncertified,Uncertified,Uncertified
204846726,酒肆#2,N,2026-09-26,Uncertified,Uncertified,Uncertified
207541387,穆瞑,N,2026-09-26,Uncertified,Uncertified,Uncertified
215634486,_Man-dal0-RiaN_,F,2026-06-05,Certified,Uncertified,Uncertified
216293778,霓裳羽衣#2,N,2026-06-05,Uncertified,Uncertified,Uncertified
219235651,Yore Xcalibur_Lv,F,2026-06-05,Certified,Uncertified,Uncertified
223373387,曾经那一抹夕阳,N,2026-09-26,Uncertified,Uncertified,Uncertified
223960784,德芙_Raven,N,2026-09-26,Uncertified,Uncertified,Uncertified
226761389,zmdmkk,N,2026-06-05,Uncertified,Uncertified,Uncertified
230182187,Itsukres,F,2026-06-05,Certified,Uncertified,Uncertified
231527053,Iceberg138,N,2026-06-05,Uncertified,Uncertified,Uncertified
234702056,RG_画眉,N,2026-09-26,Uncertified,Uncertified,Uncertified
235234200,外骨骼专家,N,2026-09-26,Uncertified,Uncertified,Uncertified
